DIGITAL CHAMA SEEDED MEMBER CREDENTIALS
Generated At: 2026-02-27T11:38:26.971230+00:00
Scope: all chamas
Mode: all users

chama,phone,password,full_name,email,notes
Digital Chama Alpha,+254715000012,,Lilian Kamau,lilian.kamau.012@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000013,,Moses Mwangi,moses.mwangi.013@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000014,,Naomi Wanjiru,naomi.wanjiru.014@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000015,,Oscar Kiprop,oscar.kiprop.015@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000016,,Purity Njuguna,purity.njuguna.016@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000017,,Quincy Kamau,quincy.kamau.017@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000018,,Ruth Mwangi,ruth.mwangi.018@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000019,,Samuel Wanjiru,samuel.wanjiru.019@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000020,,Tabitha Kiprop,tabitha.kiprop.020@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000021,,Umar Njuguna,umar.njuguna.021@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000022,,Victor Kamau,victor.kamau.022@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000023,,Winnie Mwangi,winnie.mwangi.023@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000024,,Yusuf Wanjiru,yusuf.wanjiru.024@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000025,,Zawadi Kiprop,zawadi.kiprop.025@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000026,,Amina Njuguna,amina.njuguna.026@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000027,,Brian Kamau,brian.kamau.027@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000028,,Caroline Mwangi,caroline.mwangi.028@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000029,,David Wanjiru,david.wanjiru.029@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000030,,Esther Kiprop,esther.kiprop.030@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000031,,Felix Njuguna,felix.njuguna.031@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000032,,Grace Kamau,grace.kamau.032@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000033,,Hassan Mwangi,hassan.mwangi.033@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000034,,Irene Wanjiru,irene.wanjiru.034@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000035,,James Kiprop,james.kiprop.035@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000036,,Kevin Njuguna,kevin.njuguna.036@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000037,,Lilian Kamau,lilian.kamau.037@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000038,,Moses Mwangi,moses.mwangi.038@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000039,,Naomi Wanjiru,naomi.wanjiru.039@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000040,,Oscar Kiprop,oscar.kiprop.040@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000041,,Purity Njuguna,purity.njuguna.041@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000042,,Quincy Kamau,quincy.kamau.042@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000043,,Ruth Mwangi,ruth.mwangi.043@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000044,,Samuel Wanjiru,samuel.wanjiru.044@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000045,,Tabitha Kiprop,tabitha.kiprop.045@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000046,,Umar Njuguna,umar.njuguna.046@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000047,,Victor Kamau,victor.kamau.047@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000048,,Winnie Mwangi,winnie.mwangi.048@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000049,,Yusuf Wanjiru,yusuf.wanjiru.049@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000050,,Zawadi Kiprop,zawadi.kiprop.050@members.digitalchama.test,existing password unchanged
Mambo mazuri,+254700000002,,Main Secretary,secretary@digitalchama.co.ke,existing password unchanged
Mambo mazuri,+254700000003,,Main Treasurer,treasurer@digitalchama.co.ke,existing password unchanged
